epoch,lr,train_loss,train_cls,train_reg,train_mean_dist,val_mean_dist,val_median_dist,val_success_1A,val_success_2A,val_success_5A
1,0.0004969325153374233,7.283501,6.521942,0.380779,1.3463,1.2138,1.1037,0.4214,0.8868,1.0
2,0.000994478527607362,5.771883,5.242075,0.264904,1.0669,0.9791,0.6864,0.6352,0.8994,1.0
3,0.0009999976249711314,5.094598,4.641153,0.226722,0.9932,0.9623,0.7233,0.6415,0.8931,1.0
4,0.000999990356511947,4.856482,4.392227,0.232127,1.0013,0.8893,0.75,0.6792,0.9245,1.0
5,0.0009999782662413882,4.752147,4.349665,0.201241,0.9339,0.9677,0.725,0.6352,0.9057,1.0
6,0.0009999612823561007,4.655762,4.269629,0.193067,0.9275,0.8702,0.6804,0.6855,0.9308,1.0
7,0.000999939519140057,4.661705,4.285783,0.187961,0.9097,0.8953,0.657,0.6792,0.9308,1.0
8,0.0009999127424536636,4.721372,4.341252,0.19006,0.9119,0.9899,0.6234,0.6352,0.8365,1.0
9,0.0009998810726307194,4.600697,4.255571,0.172563,0.8641,0.8013,0.564,0.7107,0.9245,1.0
10,0.0009998447988021498,4.523362,4.182187,0.170587,0.8497,0.8411,0.6227,0.7296,0.9119,1.0
11,0.0009998034882167108,4.481297,4.156191,0.162553,0.8257,0.8357,0.6039,0.7107,0.9245,1.0
12,0.0009997571893501068,4.432745,4.107103,0.162821,0.818,0.8148,0.5771,0.7044,0.9371,1.0
13,0.0009997058664197177,4.371429,4.05185,0.15979,0.8188,0.7961,0.559,0.7484,0.9182,1.0
14,0.0009996496281942386,4.435262,4.100512,0.167375,0.8389,0.8506,0.6358,0.7233,0.9308,1.0
15,0.0009995890234075421,4.502005,4.172434,0.164786,0.8224,0.8171,0.5747,0.7107,0.9308,1.0
16,0.0009995230829935693,4.40688,4.056275,0.175303,0.8717,0.8199,0.6328,0.7107,0.956,1.0
17,0.0009994527832794858,4.384168,4.043017,0.170576,0.8356,0.7885,0.5531,0.7107,0.9308,1.0
18,0.0009993771733765588,4.437973,4.107205,0.165384,0.8182,0.8357,0.5851,0.7044,0.9245,1.0
19,0.0009992968803581158,4.45744,4.128015,0.164712,0.8211,0.7913,0.5668,0.6792,0.9245,1.0
20,0.0009992111822418044,4.422946,4.104476,0.159235,0.8017,0.7682,0.5222,0.7358,0.9434,1.0
21,0.0009991206760820263,4.427667,4.103607,0.16203,0.8104,0.8239,0.5957,0.7233,0.9371,1.0
22,0.0009990257424427654,4.348695,4.040466,0.154115,0.804,0.8626,0.6891,0.6981,0.9371,1.0
23,0.0009989250626547118,4.462481,4.120147,0.171167,0.8427,1.0004,0.8102,0.6415,0.8931,1.0
24,0.0009988204997423494,4.424137,4.10073,0.161704,0.8099,0.806,0.6029,0.7233,0.9308,1.0
25,0.0009987112290573766,4.401114,4.096028,0.152543,0.788,0.7593,0.566,0.7547,0.9497,1.0
26,0.000998596691356627,4.352221,4.05779,0.147216,0.7763,0.7918,0.5413,0.7484,0.9308,1.0
